sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"ROR1","Approved symbol","ROR1","receptor tyrosine kinase like orphan receptor 1","HGNC:10256","1p31.3"
"ROR1","Alias symbol","RORA","RAR related orphan receptor A","HGNC:10258","15q22.2"
"TEX10","Approved symbol","TEX10","testis expressed 10","HGNC:25988","9q31.1"
"SARDH","Approved symbol","SARDH","sarcosine dehydrogenase","HGNC:10536","9q34.2"
"NEK3","Approved symbol","NEK3","NIMA related kinase 3","HGNC:7746","13q14.3"
"GCM1","Approved symbol","GCM1","glial cells missing transcription factor 1","HGNC:4197","6p12.1"
"RIPK5","Previous symbol","DSTYK","dual serine/threonine and tyrosine protein kinase","HGNC:29043","1q32.1"
"CTRB1","Approved symbol","CTRB1","chymotrypsinogen B1","HGNC:2521","16q23.1"
"GPC5","Approved symbol","GPC5","glypican 5","HGNC:4453","13q31.3"
"FCGR2A","Approved symbol","FCGR2A","Fc gamma receptor IIa","HGNC:3616","1q23.3"
"GAGEB1","Previous symbol","PAGE1","PAGE family member 1","HGNC:4107","Xp11.23"
"TENS1","Previous symbol","TNS3","tensin 3","HGNC:21616","7p12.3"
"INPP5F","Approved symbol","INPP5F","inositol polyphosphate-5-phosphatase F","HGNC:17054","10q26.11"
"GPATC3","Previous symbol","GPATCH3","G-patch domain containing 3","HGNC:25720","1p36.11"
"NGFB","Previous symbol","NGF","nerve growth factor","HGNC:7808","1p13.2"
"SLC7A4","Approved symbol","SLC7A4","solute carrier family 7 member 4","HGNC:11062","22q11.21"
"CACNA2D1","Approved symbol","CACNA2D1","calcium voltage-gated channel auxiliary subunit alpha2delta 1","HGNC:1399","7q21.11"
"TNNT3","Approved symbol","TNNT3","troponin T3, fast skeletal type","HGNC:11950","11p15.5"
"KCNJ10","Approved symbol","KCNJ10","potassium inwardly rectifying channel subfamily J member 10","HGNC:6256","1q23.2"
"HBD","Approved symbol","HBD","hemoglobin subunit delta","HGNC:4829","11p15.4"
"SURB7","Previous symbol","MED21","mediator complex subunit 21","HGNC:11473","12p11.23"
"MPP6","Previous symbol","PALS2","protein associated with LIN7 2, MAGUK p55 family member","HGNC:18167","7p15.3"
"MPP6","Alias symbol","MPHOSPH6","M-phase phosphoprotein 6","HGNC:7214","16q23.3"
"B3GNT1","Previous symbol","B4GAT1","beta-1,4-glucuronyltransferase 1","HGNC:15685","11q13.2"
"B3GNT1","Previous symbol","B3GNT2","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2","HGNC:15629","2p15"
"CARHSP1","Approved symbol","CARHSP1","calcium regulated heat stable protein 1","HGNC:17150","16p13.2"
"CGI-143","Alias symbol","BOLA1","bolA family member 1","HGNC:24263","1q21.2"
"MBNL2","Approved symbol","MBNL2","muscleblind like splicing regulator 2","HGNC:16746","13q32.1"
"SMU1","Approved symbol","SMU1","SMU1 DNA replication regulator and spliceosomal factor","HGNC:18247","9p21.1"
"PARP4","Approved symbol","PARP4","poly(ADP-ribose) polymerase family member 4","HGNC:271","13q12.12"
"FOSL2","Approved symbol","FOSL2","FOS like 2, AP-1 transcription factor subunit","HGNC:3798","2p23.2"
"XPOT","Approved symbol","XPOT","exportin for tRNA","HGNC:12826","12q14.2"
"RABGAP1","Approved symbol","RABGAP1","RAB GTPase activating protein 1","HGNC:17155","9q33.2-q33.3"
"B4GALT6","Approved symbol","B4GALT6","beta-1,4-galactosyltransferase 6","HGNC:929","18q12.1"
"HSPBAP1","Approved symbol","HSPBAP1","HSPB1 associated protein 1","HGNC:16389","3q21.1"
"TMEFF1","Approved symbol","TMEFF1","transmembrane protein with EGF like and two follistatin like domains 1","HGNC:11866","9q31.1"
"SNFT","Alias symbol","BATF3","basic leucine zipper ATF-like transcription factor 3","HGNC:28915","1q32.3"
"MYO1E","Approved symbol","MYO1E","myosin IE","HGNC:7599","15q22.2"
"TPM2","Approved symbol","TPM2","tropomyosin 2","HGNC:12011","9p13.3"
"LMNA","Approved symbol","LMNA","lamin A/C","HGNC:6636","1q22"
"CNAP1","Alias symbol","NCAPD2","non-SMC condensin I complex subunit D2","HGNC:24305","12p13.31"
"LPIN1","Approved symbol","LPIN1","lipin 1","HGNC:13345","2p25.1"
"TNPO3","Approved symbol","TNPO3","transportin 3","HGNC:17103","7q32.1"
"NOC4","Previous symbol","EMC8","ER membrane protein complex subunit 8","HGNC:7864","16q24.1"
"NOC4","Alias symbol","NOC4L","nucleolar complex associated 4 homolog","HGNC:28461","12q24.33"
"GJA1","Approved symbol","GJA1","gap junction protein alpha 1","HGNC:4274","6q22.31"
"HDGFRP3","Alias symbol","HDGFL3","HDGF like 3","HGNC:24937","15q25.2"
"TDE1","Previous symbol","SERINC3","serine incorporator 3","HGNC:11699","20q13.12"
"NUP98","Approved symbol","NUP98","nucleoporin 98 and 96 precursor","HGNC:8068","11p15.4"
"ELOVL6","Approved symbol","ELOVL6","ELOVL fatty acid elongase 6","HGNC:15829","4q25"
"JPH2","Approved symbol","JPH2","junctophilin 2","HGNC:14202","20q13.12"
"SRPK2","Approved symbol","SRPK2","SRSF protein kinase 2","HGNC:11306","7q22.3"
"ARHGEF17","Approved symbol","ARHGEF17","Rho guanine nucleotide exchange factor 17","HGNC:21726","11q13.4"
"GR6","Alias symbol","LINC01565","long intergenic non-protein coding RNA 1565","HGNC:17099","3q21.3"
"CCR4","Approved symbol","CCR4","C-C motif chemokine receptor 4","HGNC:1605","3p22.3"
"CCR4","Alias symbol","CNOT6","CCR4-NOT transcription complex subunit 6","HGNC:14099","5q35.3"
"NGFRAP1","Previous symbol","BEX3","brain expressed X-linked 3","HGNC:13388","Xq22.2"
"POLQ","Approved symbol","POLQ","DNA polymerase theta","HGNC:9186","3q13.33"
"POLQ","Alias symbol","POLK","DNA polymerase kappa","HGNC:9183","5q13.3"
"PA2G4","Approved symbol","PA2G4","proliferation-associated 2G4","HGNC:8550","12q13.2"
"DGKI","Approved symbol","DGKI","diacylglycerol kinase iota","HGNC:2855","7q33"
"RAG1","Approved symbol","RAG1","recombination activating 1","HGNC:9831","11p12"
"UQCRB","Approved symbol","UQCRB","ubiquinol-cytochrome c reductase binding protein","HGNC:12582","8q22.1"
"PJA1","Approved symbol","PJA1","praja ring finger ubiquitin ligase 1","HGNC:16648","Xq13.1"
"CX36","Alias symbol","GJD2","gap junction protein delta 2","HGNC:19154","15q14"
"BCL6","Approved symbol","BCL6","BCL6 transcription repressor","HGNC:1001","3q27.3"
"POGK","Approved symbol","POGK","pogo transposable element derived with KRAB domain","HGNC:18800","1q24.1"
"RPS10","Approved symbol","RPS10","ribosomal protein S10","HGNC:10383","6p21.31"
"HDAC11","Approved symbol","HDAC11","histone deacetylase 11","HGNC:19086","3p25.1"
"TRIM45","Approved symbol","TRIM45","tripartite motif containing 45","HGNC:19018","1p13.1"
"CD47","Approved symbol","CD47","CD47 molecule","HGNC:1682","3q13.12"
"ZNF395","Approved symbol","ZNF395","zinc finger protein 395","HGNC:18737","8p21.1"
"CABYR","Approved symbol","CABYR","calcium binding tyrosine phosphorylation regulated","HGNC:15569","18q11.2"
"ZFYVE9","Approved symbol","ZFYVE9","zinc finger FYVE-type containing 9","HGNC:6775","1p32.3"
"SCN7A","Approved symbol","SCN7A","sodium voltage-gated channel alpha subunit 7","HGNC:10594","2q24.3"
"ADAM22","Approved symbol","ADAM22","ADAM metallopeptidase domain 22","HGNC:201","7q21.12"
"IDS","Approved symbol","IDS","iduronate 2-sulfatase","HGNC:5389","Xq28"
"POLRMT","Approved symbol","POLRMT","RNA polymerase mitochondrial","HGNC:9200","19p13.3"
"OR1F1","Approved symbol","OR1F1","olfactory receptor family 1 subfamily F member 1","HGNC:8194","16p13.3"
"VRK3","Approved symbol","VRK3","VRK serine/threonine kinase 3","HGNC:18996","19q13.33"
"HNRPM","Previous symbol","HNRNPM","heterogeneous nuclear ribonucleoprotein M","HGNC:5046","19p13.2"
"GNAI2","Approved symbol","GNAI2","G protein subunit alpha i2","HGNC:4385","3p21.31"
"FLJ10385","Alias symbol","WRAP53","WD repeat containing antisense to TP53","HGNC:25522","17p13.1"
"CHRNA10","Approved symbol","CHRNA10","cholinergic receptor nicotinic alpha 10 subunit","HGNC:13800","11p15.4"
"PTPN6","Approved symbol","PTPN6","protein tyrosine phosphatase non-receptor type 6","HGNC:9658","12p13.31"
"HAPLN1","Approved symbol","HAPLN1","hyaluronan and proteoglycan link protein 1","HGNC:2380","5q14.3"
"SLC25A11","Approved symbol","SLC25A11","solute carrier family 25 member 11","HGNC:10981","17p13.2"
"PDIP","Previous symbol","PDIA2","protein disulfide isomerase family A member 2","HGNC:14180","16p13.3"
"GRIN2D","Approved symbol","GRIN2D","glutamate ionotropic receptor NMDA type subunit 2D","HGNC:4588","19q13.33"
"SERPINB7","Approved symbol","SERPINB7","serpin family B member 7","HGNC:13902","18q21.33"
"GJA12","Previous symbol","GJC2","gap junction protein gamma 2","HGNC:17494","1q42.13"
"MYH13","Approved symbol","MYH13","myosin heavy chain 13","HGNC:7571","17p13.1"
"CLPTM1","Approved symbol","CLPTM1","CLPTM1 regulator of GABA type A receptor forward trafficking","HGNC:2087","19q13.32"
"HSRG1","Alias symbol","MON1B","MON1 homolog B, secretory trafficking associated","HGNC:25020","16q23.1"
"CAPN6","Approved symbol","CAPN6","calpain 6","HGNC:1483","Xq23"
"CYP39A1","Approved symbol","CYP39A1","cytochrome P450 family 39 subfamily A member 1","HGNC:17449","6p12.3"
"NELL2","Approved symbol","NELL2","neural EGFL like 2","HGNC:7751","12q12"
"OLFM1","Approved symbol","OLFM1","olfactomedin 1","HGNC:17187","9q34.3"
"GPHN","Approved symbol","GPHN","gephyrin","HGNC:15465","14q23.3"
"UNC119","Approved symbol","UNC119","unc-119 lipid binding chaperone","HGNC:12565","17q11.2"
"EDG8","Previous symbol","S1PR5","sphingosine-1-phosphate receptor 5","HGNC:14299","19p13.2"
"GPR44","Previous symbol","PTGDR2","prostaglandin D2 receptor 2","HGNC:4502","11q12.2"
"KRTHA1","Previous symbol","KRT31","keratin 31","HGNC:6448","17q21.2"
"HIST1H1D","Previous symbol","H1-3","H1.3 linker histone, cluster member","HGNC:4717","6p22.2"
"FBXL11","Previous symbol","KDM2A","lysine demethylase 2A","HGNC:13606","11q13.2"
"MYL2","Approved symbol","MYL2","myosin light chain 2","HGNC:7583","12q24.11"
"KRTHA8","Previous symbol","KRT38","keratin 38","HGNC:6456","17q21.2"
"AVPR2","Approved symbol","AVPR2","arginine vasopressin receptor 2","HGNC:897","Xq28"
"CEBPE","Approved symbol","CEBPE","CCAAT enhancer binding protein epsilon","HGNC:1836","14q11.2"
"SLC41A3","Approved symbol","SLC41A3","solute carrier family 41 member 3","HGNC:31046","3q21.2-q21.3"
"PLEKHA1","Approved symbol","PLEKHA1","pleckstrin homology domain containing A1","HGNC:14335","10q26.13"
"DNAH9","Approved symbol","DNAH9","dynein axonemal heavy chain 9","HGNC:2953","17p12"
"CBX5","Approved symbol","CBX5","chromobox 5","HGNC:1555","12q13.13"
"HSPCB","Previous symbol","HSP90AB1","heat shock protein 90 alpha family class B member 1","HGNC:5258","6p21.1"
"MGC2749","Alias symbol","KXD1","KxDL motif containing 1","HGNC:28420","19p13.11"
"BAT2","Previous symbol","PRRC2A","proline rich coiled-coil 2A","HGNC:13918","6p21.33"
"C1R","Approved symbol","C1R","complement C1r","HGNC:1246","12p13.31"
"NUDT6","Approved symbol","NUDT6","nudix hydrolase 6","HGNC:8053","4q28.1"
"CRYZ","Approved symbol","CRYZ","crystallin zeta","HGNC:2419","1p31.1"
"DKFZP434G1415","Alias symbol","PUS7L","pseudouridine synthase 7 like","HGNC:25276","12q12"
"DATF1","Previous symbol","DIDO1","death inducer-obliterator 1","HGNC:2680","20q13.33"
"""NAGLU""","Unmatched","","","",""
"TZFP","Alias symbol","ZBTB32","zinc finger and BTB domain containing 32","HGNC:16763","19q13.12"
"JUND","Approved symbol","JUND","JunD proto-oncogene, AP-1 transcription factor subunit","HGNC:6206","19p13.11"
"FLJ12242","Alias symbol","KCTD17","potassium channel tetramerization domain containing 17","HGNC:25705","22q12.3"
"ATP2B4","Approved symbol","ATP2B4","ATPase plasma membrane Ca2+ transporting 4","HGNC:817","1q32.1"
"CRYBA2","Approved symbol","CRYBA2","crystallin beta A2","HGNC:2395","2q35"
"ATP9B","Approved symbol","ATP9B","ATPase phospholipid transporting 9B (putative)","HGNC:13541","18q23"
"INCENP","Approved symbol","INCENP","inner centromere protein","HGNC:6058","11q12.3"
"RFPL1","Approved symbol","RFPL1","ret finger protein like 1","HGNC:9977","22q12.2"
"TLR6","Approved symbol","TLR6","toll like receptor 6","HGNC:16711","4p14"
"NOS1","Approved symbol","NOS1","nitric oxide synthase 1","HGNC:7872","12q24.22"
"NOS1","Alias symbol","NANOS1","nanos C2HC-type zinc finger 1","HGNC:23044","10q26.11"
"DBT","Approved symbol","DBT","dihydrolipoamide branched chain transacylase E2","HGNC:2698","1p21.2"
"INVS","Approved symbol","INVS","inversin","HGNC:17870","9q31.1"
"DKFZP564O0523","Alias symbol","RBM48","RNA binding motif protein 48","HGNC:21785","7q21.2"
"FLJ11305","Alias symbol","PCID2","PCI domain containing 2","HGNC:25653","13q34"
"SIX3","Approved symbol","SIX3","SIX homeobox 3","HGNC:10889","2p21"
"CARM1","Approved symbol","CARM1","coactivator associated arginine methyltransferase 1","HGNC:23393","19p13.2"
"CFLAR","Approved symbol","CFLAR","CASP8 and FADD like apoptosis regulator","HGNC:1876","2q33.1"
"DHPS","Approved symbol","DHPS","deoxyhypusine synthase","HGNC:2869","19p13.13"
"TOMM20","Approved symbol","TOMM20","translocase of outer mitochondrial membrane 20","HGNC:20947","1q42.3"
"ZDHHC17","Approved symbol","ZDHHC17","zinc finger DHHC-type palmitoyltransferase 17","HGNC:18412","12q21.2"
"INPPL1","Approved symbol","INPPL1","inositol polyphosphate phosphatase like 1","HGNC:6080","11q13.4"
"LRAT","Approved symbol","LRAT","lecithin retinol acyltransferase","HGNC:6685","4q32.1"
"TNFSF18","Approved symbol","TNFSF18","TNF superfamily member 18","HGNC:11932","1q25.1"
"IL1RAPL1","Approved symbol","IL1RAPL1","interleukin 1 receptor accessory protein like 1","HGNC:5996","Xp21.3-p21.2"
"TCF21","Approved symbol","TCF21","transcription factor 21","HGNC:11632","6q23.2"
"PLEKHB2","Approved symbol","PLEKHB2","pleckstrin homology domain containing B2","HGNC:19236","2q21.1"
"SHH","Approved symbol","SHH","sonic hedgehog signaling molecule","HGNC:10848","7q36.3"
"FLJ20200","Alias symbol","FAM83E","family with sequence similarity 83 member E","HGNC:25972","19q13.33"
"ITGB4BP","Previous symbol","EIF6","eukaryotic translation initiation factor 6","HGNC:6159","20q11.22"
"LIM","Alias symbol","PDLIM5","PDZ and LIM domain 5","HGNC:17468","4q22.3"
"KIF17","Approved symbol","KIF17","kinesin family member 17","HGNC:19167","1p36.12"
"ZNF571","Approved symbol","ZNF571","zinc finger protein 571","HGNC:25000","19q13.12"
"DLG1","Approved symbol","DLG1","discs large MAGUK scaffold protein 1","HGNC:2900","3q29"
"DLG1","Alias symbol","DLGAP5","DLG associated protein 5","HGNC:16864","14q22.3"
"MOBK1B","Previous symbol","MOB1A","MOB kinase activator 1A","HGNC:16015","2p13.1"
"GRIA1","Approved symbol","GRIA1","glutamate ionotropic receptor AMPA type subunit 1","HGNC:4571","5q33.2"
"REST","Approved symbol","REST","RE1 silencing transcription factor","HGNC:9966","4q12"
"HS3ST3A1","Approved symbol","HS3ST3A1","heparan sulfate-glucosamine 3-sulfotransferase 3A1","HGNC:5196","17p12"
"NSMAF","Approved symbol","NSMAF","neutral sphingomyelinase activation associated factor","HGNC:8017","8q12.1"
"GABRA5","Approved symbol","GABRA5","gamma-aminobutyric acid type A receptor subunit alpha5","HGNC:4079","15q12"
"CAPG","Approved symbol","CAPG","capping actin protein, gelsolin like","HGNC:1474","2p11.2"
"FPRL1","Previous symbol","FPR2","formyl peptide receptor 2","HGNC:3827","19q13.41"
"MSH6","Approved symbol","MSH6","mutS homolog 6","HGNC:7329","2p16.3"
"STAB1","Approved symbol","STAB1","stabilin 1","HGNC:18628","3p21.1"
"ERCC3","Approved symbol","ERCC3","ERCC excision repair 3, TFIIH core complex helicase subunit","HGNC:3435","2q14.3"
"CSN3","Approved symbol","CSN3","casein kappa","HGNC:2446","4q13.3"
"CSN3","Alias symbol","COPS3","COP9 signalosome subunit 3","HGNC:2239","17p11.2"
"PAI-RBP1","Alias symbol","SERBP1","SERPINE1 mRNA binding protein 1","HGNC:17860","1p31.3"
"DAZAP1","Approved symbol","DAZAP1","DAZ associated protein 1","HGNC:2683","19p13.3"
"TSPAN-2","Alias symbol","TSPAN2","tetraspanin 2","HGNC:20659","1p13.2"
"ACSL4","Approved symbol","ACSL4","acyl-CoA synthetase long chain family member 4","HGNC:3571","Xq23"
"DNM2","Approved symbol","DNM2","dynamin 2","HGNC:2974","19p13.2"
"CRLF1","Approved symbol","CRLF1","cytokine receptor like factor 1","HGNC:2364","19p12"
"CCNB1IP1","Approved symbol","CCNB1IP1","cyclin B1 interacting protein 1","HGNC:19437","14q11.2"
"RUNX3","Approved symbol","RUNX3","RUNX family transcription factor 3","HGNC:10473","1p36.11"
"PTPN1","Approved symbol","PTPN1","protein tyrosine phosphatase non-receptor type 1","HGNC:9642","20q13.13"
"RNF40","Approved symbol","RNF40","ring finger protein 40","HGNC:16867","16p11.2"
"KIAA0961","Alias symbol","ZFP30","ZFP30 zinc finger protein","HGNC:29555","19q13.12"
"PCDHGC3","Approved symbol","PCDHGC3","protocadherin gamma subfamily C, 3","HGNC:8716","5q31.3"
"DNAJC7","Approved symbol","DNAJC7","DnaJ heat shock protein family (Hsp40) member C7","HGNC:12392","17q21.2"
"PON1","Approved symbol","PON1","paraoxonase 1","HGNC:9204","7q21.3"
"ATP8B2","Approved symbol","ATP8B2","ATPase phospholipid transporting 8B2","HGNC:13534","1q21.3"
"KIAA0495","Previous symbol","TP73-AS1","TP73 antisense RNA 1","HGNC:29052","1p36.32"
"AAAS","Approved symbol","AAAS","aladin WD repeat nucleoporin","HGNC:13666","12q13.13"
"FUBP1","Approved symbol","FUBP1","far upstream element binding protein 1","HGNC:4004","1p31.1"
"TAZ","Previous symbol","TAFAZZIN","tafazzin, phospholipid-lysophospholipid transacylase","HGNC:11577","Xq28"
"TAZ","Alias symbol","WWTR1","WW domain containing transcription regulator 1","HGNC:24042","3q25.1"
"PRKAR1B","Approved symbol","PRKAR1B","protein kinase cAMP-dependent type I regulatory subunit beta","HGNC:9390","7p22.3"
"PTOP","Alias symbol","ACD","ACD shelterin complex subunit and telomerase recruitment factor","HGNC:25070","16q22.1"
"FAT2","Approved symbol","FAT2","FAT atypical cadherin 2","HGNC:3596","5q33.1"
"ARRB2","Approved symbol","ARRB2","arrestin beta 2","HGNC:712","17p13.2"
"DPEP3","Approved symbol","DPEP3","dipeptidase 3","HGNC:23029","16q22.1"
"USP10","Approved symbol","USP10","ubiquitin specific peptidase 10","HGNC:12608","16q24.1"
"USP10","Alias symbol","USP32","ubiquitin specific peptidase 32","HGNC:19143","17q23.3"
"POU5F1","Approved symbol","POU5F1","POU class 5 homeobox 1","HGNC:9221","6p21.33"
"KRTHB3","Previous symbol","KRT83","keratin 83","HGNC:6460","12q13.13"
"NPR3","Approved symbol","NPR3","natriuretic peptide receptor 3","HGNC:7945","5p13.3"
"NPR3","Alias symbol","NPRL3","NPR3 like, GATOR1 complex subunit","HGNC:14124","16p13.3"
"FLJ12118","Alias symbol","CARS2","cysteinyl-tRNA synthetase 2, mitochondrial","HGNC:25695","13q34"
"DYRK2","Approved symbol","DYRK2","dual specificity tyrosine phosphorylation regulated kinase 2","HGNC:3093","12q15"
"FLJ10350","Alias symbol","MAP7D1","MAP7 domain containing 1","HGNC:25514","1p34.3"
"EPHA4","Approved symbol","EPHA4","EPH receptor A4","HGNC:3388","2q36.1"
"ZMYND10","Approved symbol","ZMYND10","zinc finger MYND-type containing 10","HGNC:19412","3p21.31"
"SCAP1","Previous symbol","SKAP1","src kinase associated phosphoprotein 1","HGNC:15605","17q21.32"
"FLJ12476","Alias symbol","IQCH","IQ motif containing H","HGNC:25721","15q23"
"HNRPD","Previous symbol","HNRNPD","heterogeneous nuclear ribonucleoprotein D","HGNC:5036","4q21.22"
"SLC25A15","Approved symbol","SLC25A15","solute carrier family 25 member 15","HGNC:10985","13q14.11"
"ACDC","Previous symbol","ADIPOQ","adiponectin, C1Q and collagen domain containing","HGNC:13633","3q27.3"
"CXCL5","Approved symbol","CXCL5","C-X-C motif chemokine ligand 5","HGNC:10642","4q13.3"
"NBL1","Approved symbol","NBL1","NBL1, DAN family BMP antagonist","HGNC:7650","1p36.13"
"CAPN7","Approved symbol","CAPN7","calpain 7","HGNC:1484","3p25.1"
"FOXF1","Approved symbol","FOXF1","forkhead box F1","HGNC:3809","16q24.1"
"SLC17A6","Approved symbol","SLC17A6","solute carrier family 17 member 6","HGNC:16703","11p14.3"
"DND1","Approved symbol","DND1","DND microRNA-mediated repression inhibitor 1","HGNC:23799","5q31.3"
"ANKRD12","Approved symbol","ANKRD12","ankyrin repeat domain 12","HGNC:29135","18p11.22"
"RRAGA","Approved symbol","RRAGA","Ras related GTP binding A","HGNC:16963","9p22.1"
"INE1","Approved symbol","INE1","inactivation escape 1","HGNC:6060","Xp11.3"
"RPL30","Approved symbol","RPL30","ribosomal protein L30","HGNC:10333","8q22.2"
"WDR45","Approved symbol","WDR45","WD repeat domain 45","HGNC:28912","Xp11.23"
"RASSF1","Approved symbol","RASSF1","Ras association domain family member 1","HGNC:9882","3p21.31"
"ZCWPW1","Approved symbol","ZCWPW1","zinc finger CW-type and PWWP domain containing 1","HGNC:23486","7q22.1"
"DNAH17","Approved symbol","DNAH17","dynein axonemal heavy chain 17","HGNC:2946","17q25.3"
"LTBP4","Approved symbol","LTBP4","latent transforming growth factor beta binding protein 4","HGNC:6717","19q13.2"
"FOXD1","Approved symbol","FOXD1","forkhead box D1","HGNC:3802","5q13.2"
"AP2M1","Approved symbol","AP2M1","adaptor related protein complex 2 subunit mu 1","HGNC:564","3q27.1"
"KIDINS220","Approved symbol","KIDINS220","kinase D interacting substrate 220","HGNC:29508","2p25.1"
"FBXL8","Approved symbol","FBXL8","F-box and leucine rich repeat protein 8","HGNC:17875","16q22.1"
"ARMC6","Approved symbol","ARMC6","armadillo repeat containing 6","HGNC:25049","19p13.11"
"PIK3CD","Approved symbol","PIK3CD","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta","HGNC:8977","1p36.22"
"DDX19L","Previous symbol","DDX19A","DEAD-box helicase 19A","HGNC:25628","16q22.1"
"ESPL1","Approved symbol","ESPL1","extra spindle pole bodies like 1, separase","HGNC:16856","12q13.13"
"PEX5L","Approved symbol","PEX5L","peroxisomal biogenesis factor 5 like","HGNC:30024","3q26.33"
"HAT","Alias symbol","TMPRSS11D","transmembrane serine protease 11D","HGNC:24059","4q13.2"
"SFRS8","Previous symbol","SFSWAP","splicing factor SWAP","HGNC:10790","12q24.33"
"UNC93A","Approved symbol","UNC93A","unc-93 homolog A","HGNC:12570","6q27"
"RPL9","Approved symbol","RPL9","ribosomal protein L9","HGNC:10369","4p14"
"MAT1A","Approved symbol","MAT1A","methionine adenosyltransferase 1A","HGNC:6903","10q22.3"
"TP73","Approved symbol","TP73","tumor protein p73","HGNC:12003","1p36.32"
"GAS6","Approved symbol","GAS6","growth arrest specific 6","HGNC:4168","13q34"
"DDEF2","Previous symbol","ASAP2","ArfGAP with SH3 domain, ankyrin repeat and PH domain 2","HGNC:2721","2p25.1"
"TGFBI","Approved symbol","TGFBI","transforming growth factor beta induced","HGNC:11771","5q31.1"
"GPX5","Approved symbol","GPX5","glutathione peroxidase 5","HGNC:4557","6p22.1"
"CUL1","Approved symbol","CUL1","cullin 1","HGNC:2551","7q36.1"
"GLG1","Approved symbol","GLG1","golgi glycoprotein 1","HGNC:4316","16q23.1"
"SERPINH1","Approved symbol","SERPINH1","serpin family H member 1","HGNC:1546","11q13.5"
"CSRP2","Approved symbol","CSRP2","cysteine and glycine rich protein 2","HGNC:2470","12q21.2"
"WDR6","Approved symbol","WDR6","WD repeat domain 6","HGNC:12758","3p21.31"
"KLHL12","Approved symbol","KLHL12","kelch like family member 12","HGNC:19360","1q32.1"
"LEF1","Approved symbol","LEF1","lymphoid enhancer binding factor 1","HGNC:6551","4q25"
"CHRNB3","Approved symbol","CHRNB3","cholinergic receptor nicotinic beta 3 subunit","HGNC:1963","8p11.21"
"TNMD","Approved symbol","TNMD","tenomodulin","HGNC:17757","Xq22.1"
"ARHGEF11","Approved symbol","ARHGEF11","Rho guanine nucleotide exchange factor 11","HGNC:14580","1q23.1"
"GRIK5","Approved symbol","GRIK5","glutamate ionotropic receptor kainate type subunit 5","HGNC:4583","19q13.2"
"ATP10A","Approved symbol","ATP10A","ATPase phospholipid transporting 10A (putative)","HGNC:13542","15q12"
"PLEKHA4","Approved symbol","PLEKHA4","pleckstrin homology domain containing A4","HGNC:14339","19q13.33"
"CABP5","Approved symbol","CABP5","calcium binding protein 5","HGNC:13714","19q13.33"
"SH3GL3","Approved symbol","SH3GL3","SH3 domain containing GRB2 like 3, endophilin A3","HGNC:10832","15q25.2"
"AOC2","Approved symbol","AOC2","amine oxidase copper containing 2","HGNC:549","17q21.31"
"EMD","Approved symbol","EMD","emerin","HGNC:3331","Xq28"
"MMP9","Approved symbol","MMP9","matrix metallopeptidase 9","HGNC:7176","20q13.12"
"MAP2K5","Approved symbol","MAP2K5","mitogen-activated protein kinase kinase 5","HGNC:6845","15q23"
"GTF2B","Approved symbol","GTF2B","general transcription factor IIB","HGNC:4648","1p22.2"
"PROL5","Previous symbol","SMR3A","submaxillary gland androgen regulated protein 3A","HGNC:19216","4q13.3"
"TGFBRAP1","Approved symbol","TGFBRAP1","transforming growth factor beta receptor associated protein 1","HGNC:16836","2q12.1-q12.2"
"BIRC2","Approved symbol","BIRC2","baculoviral IAP repeat containing 2","HGNC:590","11q22.2"
"CAV1","Approved symbol","CAV1","caveolin 1","HGNC:1527","7q31.2"
"RAB23","Approved symbol","RAB23","RAB23, member RAS oncogene family","HGNC:14263","6p12.1-p11.2"
"STOML2","Approved symbol","STOML2","stomatin like 2","HGNC:14559","9p13.3"
"PART1","Approved symbol","PART1","prostate androgen-regulated transcript 1","HGNC:17263","5q12.1"
"ABCC1","Approved symbol","ABCC1","ATP binding cassette subfamily C member 1","HGNC:51","16p13.11"
"GAS1","Approved symbol","GAS1","growth arrest specific 1","HGNC:4165","9q21.33"
"GPR161","Approved symbol","GPR161","G protein-coupled receptor 161","HGNC:23694","1q24.2"
"DKFZP434P1750","Alias symbol","TBC1D10B","TBC1 domain family member 10B","HGNC:24510","16p11.2"
"MGC2752","Unmatched","","","",""
"AXIN1","Approved symbol","AXIN1","axin 1","HGNC:903","16p13.3"
"UBE2M","Approved symbol","UBE2M","ubiquitin conjugating enzyme E2 M","HGNC:12491","19q13.43"
"TUBA3","Alias symbol","TUBA1A","tubulin alpha 1a","HGNC:20766","12q13.12"
"OTOF","Approved symbol","OTOF","otoferlin","HGNC:8515","2p23.3"
"EFNA1","Approved symbol","EFNA1","ephrin A1","HGNC:3221","1q22"
"MAPK8IP3","Approved symbol","MAPK8IP3","mitogen-activated protein kinase 8 interacting protein 3","HGNC:6884","16p13.3"
"GPR","Unmatched","","","",""
"KCNC3","Approved symbol","KCNC3","potassium voltage-gated channel subfamily C member 3","HGNC:6235","19q13.33"
"UBE2G1","Approved symbol","UBE2G1","ubiquitin conjugating enzyme E2 G1","HGNC:12482","17p13.2"
"PRPF31","Approved symbol","PRPF31","pre-mRNA processing factor 31","HGNC:15446","19q13.42"
